Rok,Imie,Liczba,plec,Ranking,Kolor
2014,KACPER,7922,M,2,silver
2014,ANTONI,7761,M,3,chocolate
2014,FILIP,7688,M,4,steelblue
2014,JAN,7398,M,5,steelblue
2014,SZYMON,6542,M,6,steelblue
2014,FRANCISZEK,5496,M,7,steelblue
2014,ALEKSANDER,5306,M,8,steelblue
2014,MICHA£,5289,M,9,steelblue
2014,WOJCIECH,5262,M,10,steelblue
2014,ADAM,5262,M,11,steelblue
2014,MIKO£AJ,5203,M,12,steelblue
2014,PIOTR,4399,M,13,steelblue
2014,MATEUSZ,4270,M,14,steelblue
2014,MARCEL,4196,M,15,steelblue
2015,JAKUB,9204,M,1,gold
2015,ANTONI,8332,M,2,silver
2015,SZYMON,7777,M,3,chocolate
2015,JAN,7607,M,4,steelblue
2015,FILIP,7235,M,5,steelblue
2015,KACPER,6867,M,6,steelblue
2015,ALEKSANDER,5800,M,7,steelblue
2015,FRANCISZEK,5765,M,8,steelblue
2015,MIKO£AJ,5655,M,9,steelblue
2015,WOJCIECH,5566,M,10,steelblue
2015,ADAM,5405,M,11,steelblue
2015,MICHA£,5065,M,12,steelblue
2015,MARCEL,4233,M,13,steelblue
2015,WIKTOR,4061,M,14,steelblue
2015,PIOTR,3977,M,15,steelblue
2016,ANTONI,9518,M,1,gold
2016,JAKUB,9307,M,2,silver
2016,SZYMON,8461,M,3,chocolate
2016,JAN,7865,M,4,steelblue
2016,FILIP,7046,M,5,steelblue
2016,FRANCISZEK,6699,M,6,steelblue
2016,MIKO£AJ,6530,M,7,steelblue
2016,ALEKSANDER,6451,M,8,steelblue
2016,KACPER,6282,M,9,steelblue
2016,WOJCIECH,6000,M,10,steelblue
2016,ADAM,5445,M,11,steelblue
2016,MICHA£,4959,M,12,steelblue
2016,MARCEL,4534,M,13,steelblue
2016,WIKTOR,4053,M,14,steelblue
2016,PIOTR,3833,M,15,steelblue
2017,ANTONI,9989,M,1,gold
2017,JAKUB,9316,M,2,silver
2017,JAN,8712,M,3,chocolate
2017,SZYMON,8240,M,4,steelblue
2017,FILIP,7150,M,5,steelblue
2017,FRANCISZEK,7065,M,6,steelblue
2017,ALEKSANDER,6968,M,7,steelblue
2017,MIKO£AJ,6576,M,8,steelblue
2017,WOJCIECH,6346,M,9,steelblue
2017,KACPER,6049,M,10,steelblue
2017,ADAM,5476,M,11,steelblue
2017,MICHA£,5004,M,12,steelblue
2017,MARCEL,4739,M,13,steelblue
2017,STANIS£AW,4319,M,14,steelblue
2017,WIKTOR,4238,M,15,steelblue
2018,ANTONI,9329,M,1,gold
2018,JAKUB,8908,M,2,silver
